"STREET","CITY","REGION","ZIP","CC2"
"Avenida Yolanda Ferreira Breda","Jundiaí","SP","13218-300","BR"
"Rua José Demarchi","Jundiaí","SP","13218-380","BR"
"Rua São Benedito","Jundiaí","SP","13218-430","BR"
"Rua Santa Teresa D'Ávila","Jundiaí","SP","13219-281","BR"
"Rua Maria Inês","Várzea Paulista","SP","13220-070","BR"
"Rua Professor Joaquim Candelário de Freitas","Várzea Paulista","SP","13220-330","BR"
"Rua João de Barro","Várzea Paulista","SP","13221-591","BR"
"Rua Borda da Mata","Várzea Paulista","SP","13222-281","BR"
"Rua F","Várzea Paulista","SP","13223-336","BR"
"Rua Amparo Domingos de Andrade","Várzea Paulista","SP","13224-105","BR"
"Rua Aruá","Várzea Paulista","SP","13225-572","BR"
"Avenida Alfried Krupp","Campo Limpo Paulista","SP","13231-900","BR"
"Rua Diamante","Campo Limpo Paulista","SP","13232-445","BR"
"Rua Afonso Pena","Campo Limpo Paulista","SP","13236-060","BR"
"Rua Pintassilgo","Campo Limpo Paulista","SP","13236-221","BR"
"Rua Celso Pupo","Itatiba","SP","13251-280","BR"
"Rua Nossa Senhora do Carmo","Itatiba","SP","13251-709","BR"
"Rua Bacuri","Itatiba","SP","13252-638","BR"
"Travessa Luiz Rossi","Itatiba","SP","13253-413","BR"
"Rua Luiz Scavone","Itatiba","SP","13255-290","BR"
"Rua Maria Alice Consoline","Itatiba","SP","13256-140","BR"
"Rua Magdalena Benedetti Giaretta","Itatiba","SP","13256-753","BR"
"Avenida Vicente Catalani","Itatiba","SP","13256-970","BR"
"Rua José Fumachi","Itatiba","SP","13257-450","BR"
"Rua Diogo Sanches Fernandes","Itatiba","SP","13257-851","BR"
"Rua Osílvio Rosa","Itatiba","SP","13257-875","BR"
"Rua Gildo Tordin","Valinhos","SP","13273-157","BR"
"Rua Domingos Tordin","Valinhos","SP","13275-095","BR"
"Rua Quinze","Valinhos","SP","13275-728","BR"
"Avenida Independência","Valinhos","SP","13276-030","BR"
"Rua Luiz Lazaretti","Valinhos","SP","13279-010","BR"
"Rodovia da José Nelson Schincariol","Itu","SP","13301-101","BR"
"Rua Pará","Itu","SP","13301-454","BR"
"Rua Fernando Dias Ferraz","Itu","SP","13304-631","BR"
"Rua Y 4","Itu","SP","13308-262","BR"
"Alameda Serra do Maracaju","Itu","SP","13308-584","BR"
"Rua Três","Itu","SP","13310-403","BR"
"Rua Luiz de Oliveira Martins Alves Júnior","Itu","SP","13310-510","BR"
"Rua Tristão de Souza Costa","Itu","SP","13312-096","BR"
"Rua José Antônio Sbrissa","Itu","SP","13312-860","BR"
"Rua Antonia Ianni Leis","Itu","SP","13313-190","BR"
"Rua Luiz Manoel da Luz Cintra","Itu","SP","13313-203","BR"
"Rua Paulo Steiner","Itu","SP","13313-212","BR"
"Avenida Portugal","Cabreúva","SP","13315-971","BR"
"Rua Thomaz Antônio Gonzaga","Salto","SP","13320-550","BR"
"Rua Marfim","Salto","SP","13321-362","BR"
"Rua Domingos Jorge Velho","Salto","SP","13323-591","BR"
"Rua Santa Maria Goretti","Salto","SP","13327-482","BR"
"Rua Antonio Perez Canovas","Indaiatuba","SP","13331-637","BR"
"Rua Ayrton Senna da Silva","Indaiatuba","SP","13332-809","BR"
"Rua Caetê","Indaiatuba","SP","13335-370","BR"
"Rua Amsterdan","Indaiatuba","SP","13337-051","BR"
"Rua Vinte e Quatro de Maio","Indaiatuba","SP","13339-315","BR"
"Rua Reverendo Manoel Pereira da Silva","Indaiatuba","SP","13340-520","BR"
"Alameda dos Jacarandás","Indaiatuba","SP","13341-014","BR"
"Alameda dos Uirapurus","Indaiatuba","SP","13341-210","BR"
"Rua Romeu Ferigati","Indaiatuba","SP","13344-652","BR"
"Rua Neusa Maria Camargo Costa","Indaiatuba","SP","13346-130","BR"
"Rua Oscar Ribeira","Indaiatuba","SP","13348-410","BR"
"Rua Hiroshi Arita","Indaiatuba","SP","13348-837","BR"
"Rua Boituva","Piracicaba","SP","13401-816","BR"
"Rua Bruno Bettoni","Piracicaba","SP","13401-823","BR"
"Alameda das Gérberas","Piracicaba","SP","13401-848","BR"
"Rua Carlos Raya","Piracicaba","SP","13402-251","BR"
"Rua Maria Cecília Machado Bonachella","Piracicaba","SP","13402-376","BR"
"Rua Um","Piracicaba","SP","13408-045","BR"
"Rua Geraldo Rocha","Piracicaba","SP","13408-131","BR"
"Travessa João José Abdalla","Piracicaba","SP","13417-431","BR"
"Rua Alfredo Guedes","Piracicaba","SP","13419-285","BR"
"Rua Regente Feijó","Piracicaba","SP","13419-290","BR"
"Rua Leontino Boscariol","Piracicaba","SP","13420-340","BR"
"Rua Padre José Maria de Oliveira","Piracicaba","SP","13420-625","BR"
"Rua Edson Rontani","Piracicaba","SP","13420-828","BR"
"Rua Lívio Ferracíu","Piracicaba","SP","13423-282","BR"
"Rua Sérgio Cardoso","Piracicaba","SP","13425-694","BR"
"Rua Indiaporã","Piracicaba","SP","13426-712","BR"
"Rua Cubatão","Piracicaba","SP","13432-560","BR"
"Praça João XXIII","Santa Bárbara D'Oeste","SP","13450-018","BR"
"Rua Alfredo Maluf","Santa Bárbara D'Oeste","SP","13450-227","BR"
"Rua Waldomiro Pedroso","Santa Bárbara D'Oeste","SP","13450-357","BR"
"Rua Elizabeth Steagall Pirtouscheg","Santa Bárbara D'Oeste","SP","13451-019","BR"
"Rua Vereador Benedito Antônio Atanaz","Santa Bárbara D'Oeste","SP","13453-528","BR"
"Rua Hermano Parazzi","Santa Bárbara D'Oeste","SP","13453-744","BR"
"Rua Elydio Pontes","Ribeirão Preto","SP","14065-270","BR"
"Rua Dirce de Almeida Fantini","Ribeirão Preto","SP","14070-732","BR"
"Rua João Saretta Neto","Ribeirão Preto","SP","14071-570","BR"
"Rua Campinas","Ribeirão Preto","SP","14075-070","BR"
"Rua Guiana Francesa","Ribeirão Preto","SP","14075-220","BR"
"Rua Modesto Junqueira","Ribeirão Preto","SP","14076-120","BR"
"Rua Professor João Salles Pupo","Ribeirão Preto","SP","14076-430","BR"
"Rotatória Maria do Rosário Kenan","Ribeirão Preto","SP","14079-100","BR"
"Rua Doutor Antonio Atallah","Ribeirão Preto","SP","14079-624","BR"
"Avenida da Saudade","Ribeirão Preto","SP","14080-000","BR"
"Rua Doutor Morais Lima","Ribeirão Preto","SP","14092-160","BR"
"Rua Benedicta Rodrigues Domingos","Ribeirão Preto","SP","14095-050","BR"
"Rua Mozart Gomes Martins","Ribeirão Preto","SP","14098-834","BR"
"Rua Theodoro Rodrigues","Sertãozinho","SP","14161-187","BR"
"Rua Guerino Molesin","Sertãozinho","SP","14164-110","BR"
"Rua Ernesto Matricardi","Sertãozinho","SP","14164-160","BR"
"Rua José Américo Baratela","Sertãozinho","SP","14165-458","BR"
"Rua Luiz Lopes","Sertãozinho","SP","14169-218","BR"
"Rua Joaquim Manoel Justino","Sertãozinho","SP","14170-339","BR"
"Rua Matheus Benelli","Sertãozinho","SP","14171-115","BR"
"Rua Manif Elias Pedro","Franca","SP","14403-662","BR"
"Rua Antonieta Almada Miranda","Franca","SP","14404-004","BR"
"Rua Vanildo Cândido da Costa","Franca","SP","14404-226","BR"
"Rua dos Angicos","Franca","SP","14405-631","BR"
"Rua Benedita Gabriela Barbosa Ignez","Franca","SP","14406-156","BR"
"Rua Rodrigo da Silva Teodoro","Franca","SP","14406-804","BR"
"Rua Daniel Martins Tristão","Franca","SP","14406-814","BR"
"Rua Estácio Bernardino Seixas","Franca","SP","14407-272","BR"
"Rua Maria Aparecida Dias","Franca","SP","14407-513","BR"
"Rua Luiz Milani","Franca","SP","14407-522","BR"
"Rua Osvaldo Paes de Mello","Franca","SP","14407-629","BR"
"Rua José Barcellos Cardoso","Franca","SP","14407-643","BR"
"Rua Nelson Pires de Castro","Franca","SP","14408-112","BR"
"Rua Antônio Herrero","Franca","SP","14409-091","BR"
"Rua Elias Cândido de Souza","Franca","SP","14409-175","BR"
"Rua Jeres Benedito de Souza","Franca","SP","14409-194","BR"
"Rua João Baptista dos Santos","Franca","SP","14409-361","BR"
"Avenida Doutor William Azzuz","Franca","SP","14409-400","BR"
"Rua Geraldo Rodrigues de Souza","Franca","SP","14412-310","BR"
"Praça Doutor Cambaúva","Bebedouro","SP","14700-409","BR"
"Rua Doutor Salim Bonemer Filho","Bebedouro","SP","14701-638","BR"
"Rua Geraldo Ferreira","Bebedouro","SP","14702-226","BR"
"Alameda Camburiu","Bebedouro","SP","14708-078","BR"
"Rua Carlos Busse Junior","Bebedouro","SP","14708-274","BR"
"Rua Paulo Sérgio da Silva Pedro","Bebedouro","SP","14710-152","BR"
"Avenida Celso Daniel Galvani","Barretos","SP","14781-145","BR"
"Rua C-24","Barretos","SP","14781-468","BR"
"Avenida Jorge Olegário de Almeida Abreu","Barretos","SP","14783-000","BR"
"Alameda Ceilão","Barretos","SP","14784-064","BR"
"Alameda Júlio Calil","Barretos","SP","14784-094","BR"
"Avenida Hildebrando de Souza Filho","Barretos","SP","14784-339","BR"
"Avenida Coronel José Xavier de Mendonça","Araraquara","SP","14800-556","BR"
"Avenida Barroso","Araraquara","SP","14801-165","BR"
"Avenida Doutor Mário Arantes de Almeida","Araraquara","SP","14802-030","BR"
"Rua Catanzaro","Araraquara","SP","14803-843","BR"
"Rua João Ciomino","Araraquara","SP","14805-356","BR"
"Avenida Manoel Tavares de Campos","Araraquara","SP","14805-423","BR"
"Rua Bento Amadeu Malavolta","Araraquara","SP","14806-287","BR"
"Avenida Said Azzem","Araraquara","SP","14806-332","BR"
"Avenida Capitão Noray de Paula e Silva","Araraquara","SP","14807-045","BR"
"Avenida Doutor Adhemar Pereira de Barros","Araraquara","SP","14807-083","BR"
"Rua Nicolla Fiorentino","São Carlos","SP","13565-575","BR"
"Rua José Tiberti","São Carlos","SP","13568-500","BR"
"Rua Oswaldo Denari","São Carlos","SP","13568-600","BR"
"Rua Emerson Radamés Gatto","São Carlos","SP","13568-640","BR"
"Rua João Muniz","São Carlos","SP","13568-780","BR"
"Rua Jorge Antonio Hildebrand","São Carlos","SP","13568-801","BR"
"Rua Irineu Mello","São Carlos","SP","13568-825","BR"
"Rua Maestro Andrelino Vieira","São Carlos","SP","13570-510","BR"
"Rua Professor Eduardo de Martini","São Carlos","SP","13571-100","BR"
"Rua Gelsomino Saia","São Carlos","SP","13571-310","BR"
"Rua José Zanetti","São Carlos","SP","13573-400","BR"
"Rua Pernambuco","Araras","SP","13601-342","BR"
"Rua Adolfo Matthiensen","Araras","SP","13601-356","BR"
"Avenida João Rossi","Araras","SP","13605-300","BR"
"Rua José de Oliveira","Araras","SP","13606-411","BR"
"Rua Octávio Daltro","Araras","SP","13606-603","BR"
"Rua Carlos Cerri","Araras","SP","13606-832","BR"
"Praça Ricieri Pechinatti","Araras","SP","13607-251","BR"
"Rua Lourdes Petruz Siviero","Araras","SP","13609-510","BR"
"Rua Ernesto Gatto","Leme","SP","13610-360","BR"
"Rua Ísis Fernandes","Leme","SP","13611-129","BR"
"Rua Demézio Nabarreti","Leme","SP","13614-300","BR"
"Rua Professor Zulingo","Leme","SP","13615-270","BR"
"Praça Raul Krempel","Leme","SP","13615-609","BR"
"Rua José Costenaro","Leme","SP","13617-732","BR"
"Rua Anna da Silva Camargo","Leme","SP","13617-743","BR"
"Rua Bom Jesus","Pirassununga","SP","13630-105","BR"
"Rua Amador Bueno","Pirassununga","SP","13631-080","BR"
"Avenida José Manoel Ribeiro","Pirassununga","SP","13632-160","BR"
"Alameda das Açucenas","Pirassununga","SP","13632-460","BR"
"Rua Bom Jesus","Pirassununga","SP","13634-048","BR"
"Rua José Luiz Franco de Oliveira","Pirassununga","SP","13635-236","BR"
"Rua Sebastião B. O. Alves","Pirassununga","SP","13641-043","BR"
"Rua Raul Roberto Campos","Mococa","SP","13732-419","BR"
"Rua André Somagio","Mococa","SP","13732-459","BR"
"Rua Paulo Rigobello","Mococa","SP","13733-049","BR"
"Rua João Batista Giacoia","Mococa","SP","13735-017","BR"
"Rua Heloísa de Figueiredo Ferraz","Mococa","SP","13737-120","BR"
"","Mococa","SP","13755-000","BR"
"Praça Francisco Alves","Mogi Mirim","SP","13800-057","BR"
"Rua Santa Maria","Mogi Mirim","SP","13801-475","BR"
"Rua Doutor Wanderley Armando Potério","Mogi Mirim","SP","13803-801","BR"
"Rua Professora Ana Luiza de Souza Aranha","Mogi Mirim","SP","13807-490","BR"
"Rua Trajano de Souza Moraes","Mogi Guaçu","SP","13840-121","BR"
"Avenida Nair Galhardoni","Mogi Guaçu","SP","13841-150","BR"
"Praça Presidente Costa e Silva","Mogi Guaçu","SP","13843-040","BR"
"Rua Julia Barbosa do Couto","Mogi Guaçu","SP","13843-229","BR"
"Rua João de Oliveira Machado","Mogi Guaçu","SP","13846-047","BR"
"Rua São José dos Pinhais","Mogi Guaçu","SP","13846-124","BR"
"Rua Antônio de Paula","Mogi Guaçu","SP","13847-017","BR"
"Rua Orlando Girard Franco","Mogi Guaçu","SP","13848-226","BR"
"Rua Octávio Franco","Mogi Guaçu","SP","13848-443","BR"
"Rua Marcilio Leme","Mogi Guaçu","SP","13848-871","BR"
"Rua João Ferreira Giao","São João da Boa Vista","SP","13871-097","BR"
"Rua Paulo Marcio Barcelos Amaral","São João da Boa Vista","SP","13872-467","BR"
"Rua Maurílio Álvares","São João da Boa Vista","SP","13873-060","BR"
"Rua Palmira Maria de Souza","São João da Boa Vista","SP","13876-604","BR"
"Rua José Paulino","São João da Boa Vista","SP","13876-842","BR"
"Rua Doutor Virgílio Paiva Júnior","Amparo","SP","13900-271","BR"
"Rua Maria Castelucci","Amparo","SP","13901-264","BR"
"Estrada Municipal do Jaburu","Amparo","SP","13901-400","BR"
"Rua Rosário Ferrari","Amparo","SP","13905-467","BR"
"Rua México","Itapira","SP","13972-263","BR"
"Rua Olegário Pereira da Silva","Itapira","SP","13973-026","BR"
"Rua Marechal Rondon","Itapira","SP","13974-210","BR"
"Rua dos Girassóis","Itapira","SP","13976-405","BR"
"Rua O","Ribeirão Preto","SP","14021-729","BR"
"Rua Sete de Setembro","Ribeirão Preto","SP","14025-200","BR"
"Avenida Monteiro Lobato","Ribeirão Preto","SP","14031-243","BR"
"Rua Abel Conceição","Ribeirão Preto","SP","14031-276","BR"
"Rua Alfredo Condeixa","Ribeirão Preto","SP","14031-383","BR"
"Rua Lucas Antonio Pereira","Ribeirão Preto","SP","14031-842","BR"
"Rua Ilda Nunes Francisco","Ribeirão Preto","SP","14031-843","BR"
"Praça Magnólias","Ribeirão Preto","SP","14040-299","BR"
"Rua Albino Rodrigues de Almeida","Ribeirão Preto","SP","14056-711","BR"
"Rua Japurá","Ribeirão Preto","SP","14060-406","BR"
"Rua Atílio Magon","Sertãozinho","SP","14177-015","BR"
"Praça Domingos Prizon","Sertãozinho","SP","14177-159","BR"
"Rua Capitão Canuto de Azevedo","Franca","SP","14401-253","BR"
"Rua da Câmara","Franca","SP","14401-306","BR"
"Rua Amazonas","Franca","SP","14401-408","BR"
"Avenida Primo Meneghetti","Franca","SP","14402-465","BR"
"Rua Leontina Odette de Castro","Franca","SP","14403-204","BR"
"Rua Sebastião José Salviano","Jales","SP","15707-666","BR"
"Rua Vitória","Jales","SP","15707-702","BR"
"Rua Esparta","Jales","SP","15708-076","BR"
"Rua Itirapina","Catanduva","SP","15802-004","BR"
"Rua Belo Monte","Catanduva","SP","15802-305","BR"
"Rua das Tulipas","Catanduva","SP","15804-380","BR"
"Rua Iguatemi","Catanduva","SP","15808-325","BR"
"Travessa Paulo Coimbra Patto","Catanduva","SP","15810-376","BR"
"Rua Icapuí","Catanduva","SP","15810-455","BR"
"Avenida Carlos Mariani","Matão","SP","15990-280","BR"
"Via Narciso Baldan","Matão","SP","15990-460","BR"
"Avenida Felice Zambon","Matão","SP","15990-568","BR"
"Rua Renato Picchi","Matão","SP","15990-660","BR"
"Avenida Tiradentes","Matão","SP","15997-080","BR"
"Rua José Guimarães Marques de Oliveira","Araçatuba","SP","16018-080","BR"
"Rua Herculano Teodoro Rodrigues","Araçatuba","SP","16018-287","BR"
"Rua Alberto Cerqueira Leite","Araçatuba","SP","16022-190","BR"
"Rua Antônio Cerizza","Araçatuba","SP","16022-440","BR"
"Rua Evaristo dos Santos","Araçatuba","SP","16022-731","BR"
"Avenida Cussy de Almeida Júnior","Araçatuba","SP","16025-050","BR"
"Rua Tupinambás","Araçatuba","SP","16025-180","BR"
"Rua São Vicente","Araçatuba","SP","16050-070","BR"
"Rua Imaculado Coração de Maria","Araçatuba","SP","16050-683","BR"
"Rua São Luiz","Araçatuba","SP","16050-685","BR"
"Rua Fermino Marques de Brito","Araçatuba","SP","16058-500","BR"
"Rua Fundador Paulino Gatto","Araçatuba","SP","16070-272","BR"
"Rua Pedro Grassi","Araçatuba","SP","16075-185","BR"
"Rua Isamar","Araçatuba","SP","16075-475","BR"
"Rua Felipe Elias Bucharles","Birigui","SP","16201-105","BR"
"Rua Luiz Catharin","Birigui","SP","16201-198","BR"
"Avenida João Gregolin","Birigui","SP","16201-491","BR"
"Rua Odemir Constantino","Birigui","SP","16202-345","BR"
"Rua Daniele Calixto Escorpioni","Birigui","SP","16202-355","BR"
"Rua Piauí","Birigui","SP","16202-448","BR"
"Praça Domingos Lot","Birigui","SP","16203-022","BR"
"Rua Augusto Silva","Birigui","SP","16204-009","BR"
"Rua Avelino Bertaglia","Birigui","SP","16207-038","BR"
"","","","","BR"
"Travessa Jaraguá","Lins","SP","16400-103","BR"
"Praça João Alves da Costa","Lins","SP","16400-363","BR"
"Rua José Garcia de Carvalho","Lins","SP","16400-460","BR"
"Rua da Concórdia","Lins","SP","16400-513","BR"
"Rua José Francisco Ribeiro","Lins","SP","16401-036","BR"
"Praça Monsenhor João Baptista Toffoli","Lins","SP","16401-052","BR"
"Rua Coronel José Braúlio Junqueira de Andrade","Lins","SP","16401-140","BR"
"Travessa Catarino Sales da Exaltação","Lins","SP","16401-379","BR"
"Rua Leopoldo Dias Quintella","Lins","SP","16402-712","BR"
"Rua Fátima Regina Pereira","Lins","SP","16403-107","BR"
"Avenida Manoel Parada de Carvalho","Valparaíso","SP","16880-970","BR"
"Rua Benjamin Constant","Andradina","SP","16900-447","BR"
"Rua Izabel dos Santos Knecht","Andradina","SP","16902-211","BR"
"Rua Antônio Garcia","Bauru","SP","17012-050","BR"
"Rua Monsenhor Claro","Bauru","SP","17015-130","BR"
"Rua João Garcia Martinez","Bauru","SP","17021-180","BR"
"Rua José Bombini","Bauru","SP","17022-124","BR"
"Rua dos Gráficos","Bauru","SP","17022-440","BR"
"Rua Mário Manoel Sales Algodoal","Bauru","SP","17024-240","BR"
"Rua Jeryes Shayeb","Bauru","SP","17024-843","BR"
"Rodovia Marechal Rondon","Bauru","SP","17025-162","BR"
"Rua José Antônio Barreto","Bauru","SP","17025-400","BR"
"Avenida Doutor Marcos de Paula Raphael","Bauru","SP","17026-000","BR"
"Rua José Ferreira Leite","Bauru","SP","17031-451","BR"
"Avenida Cinco","Bauru","SP","17031-707","BR"
"Rua Natal Fornazari","Bauru","SP","17035-070","BR"
"Alameda Tacha","Bauru","SP","17036-043","BR"
"Rua Orlando Stefano","Bauru","SP","17048-180","BR"
"Rua Noboru Kasama","Bauru","SP","17048-795","BR"
"Rua Ambleto Bertolucci","Bauru","SP","17052-021","BR"
"Alameda Araçatuba","Bauru","SP","17055-519","BR"
"Rua Antonio Vanini","Bauru","SP","17055-802","BR"
"Rua Dois","Bauru","SP","17056-265","BR"
"Rua Elizabete Bortolomai","Bauru","SP","17057-651","BR"
"Rua Victor Daniel Juarez","Bauru","SP","17057-656","BR"
"Rua Agostinho Fornetti","Bauru","SP","17063-430","BR"
"Rua Tufik Sarkis","Jaú","SP","17204-550","BR"
"Rua Sampaio Bueno","Jaú","SP","17205-070","BR"
"Rua Alfredo Leitão","Jaú","SP","17205-080","BR"
"Rua Olívio Crozera","Jaú","SP","17208-433","BR"
"Rua Luiz Spirandelli","Jaú","SP","17210-710","BR"
"Rua Padre Bonilha","Jaú","SP","17211-380","BR"
"Praça Dona Mariquinha Pacheco","Jaú","SP","17212-541","BR"
"Rua Norberto Leonelli Filho","Jaú","SP","17213-590","BR"
"Rua Pedro Gasparotto","Jaú","SP","17215-079","BR"
"Rua Santa Catarina","Jaú","SP","17220-200","BR"
"Praça Girassol","Marília","SP","17502-410","BR"
"Rua Waldemar Tomé","Marília","SP","17505-610","BR"
"Rua Salvador Salgueiro","Marília","SP","17510-480","BR"
"Avenida Washington Luiz","Marília","SP","17511-190","BR"
"Rua Manoel Maldonado","Marília","SP","17511-825","BR"
"Avenida Guiomar Novaes","Marília","SP","17512-100","BR"
"Rua Sérgio Faria","Marília","SP","17512-450","BR"
"Rua Athanízio Senna da Silva","Marília","SP","17512-816","BR"
"Rua Sebastião Gonçalves Sobrinho","Marília","SP","17519-410","BR"
"Avenida Manoel Pereira","Marília","SP","17526-000","BR"
"Rua Edgard Silva Lima","Marília","SP","17527-030","BR"
"Rua Darcílio Ambrósio","Marília","SP","17527-617","BR"
"Estrada Municipal Rosália","Marília","SP","17533-220","BR"
"Rua Emerenciana Alves Neves","Marília","SP","17539-108","BR"
"Rua Timborés","Tupã","SP","17601-040","BR"
"Avenida Tabajaras","Tupã","SP","17601-120","BR"
"Rua José Simões","Tupã","SP","17602-850","BR"
"Rua Nicola de Molla","Tupã","SP","17603-252","BR"
"Rua Luiz Gonzaga Junqueira de Andrade Filho","Tupã","SP","17605-110","BR"
"Rua Rosa Magi Convento","Tupã","SP","17607-152","BR"
"Praça Doutor Ferreira Braga","Sorocaba","SP","18010-250","BR"
"Rua José D'Ambrósio","Sorocaba","SP","18017-368","BR"
"Viela Paulo Miranda","Sorocaba","SP","18022-050","BR"
"Rua Acre","Sorocaba","SP","18040-080","BR"
"Rua Itapura","Sorocaba","SP","18044-290","BR"
"Rua Mário Soave","Sorocaba","SP","18051-045","BR"
"Rua Palmo Carani","Sorocaba","SP","18052-020","BR"
"Rua Agenor Cruz","Sorocaba","SP","18052-826","BR"
"Rua Benedito Cirino Silva Filho","Sorocaba","SP","18065-509","BR"
"Rua Olímpio Mentone","Sorocaba","SP","18066-015","BR"
"Rua Ondina Vilas Boas Albergoni","Sorocaba","SP","18072-367","BR"
"Alameda Família Pagliato","Sorocaba","SP","18073-415","BR"
"Rua Antônio Matiello","Sorocaba","SP","18074-635","BR"
"Rua Juvenal Wey","Sorocaba","SP","18075-970","BR"
"Rua Diogo Gomes Filho","Sorocaba","SP","18077-510","BR"
"Rua Maria Josefa Gimenes Gerrero","Sorocaba","SP","18078-452","BR"
"Rua Amadeu de Souza","Sorocaba","SP","18079-133","BR"
"Rua Professor Alberto Rossi","Sorocaba","SP","18079-342","BR"
"Avenida Chico Xavier","Sorocaba","SP","18079-720","BR"
"Rua Augusto Silva","Sorocaba","SP","18080-250","BR"
"Rua João Gabriel Mendes","Sorocaba","SP","18081-110","BR"
"Avenida Arthur Lopes de Castro","Araraquara","SP","14807-127","BR"
"Avenida Vicente Gullo","Araraquara","SP","14807-214","BR"
"Rua Benevenuto Colombo","Araraquara","SP","14807-258","BR"
"Avenida Alfredo Gabriel Haddad","Araraquara","SP","14807-341","BR"
"Rua Osmar Ramos Tocantins","Jaboticabal","SP","14875-456","BR"
"Rua Coronel Spínola de Castro","São José do Rio Preto","SP","15015-500","BR"
"Avenida Jesus Vilanova Vidal","São José do Rio Preto","SP","15020-060","BR"
"Rua Paquetá","São José do Rio Preto","SP","15025-180","BR"
"Rua Antônio Carlos Mariotti","São José do Rio Preto","SP","15040-285","BR"
"Rua Walter Carlos Araújo","São José do Rio Preto","SP","15041-516","BR"
"Rua João Rodrigues da Silveira","São José do Rio Preto","SP","15044-651","BR"
"Rua Francisco Ovidio","São José do Rio Preto","SP","15045-215","BR"
"Rua Nelson Marques Pimentel","São José do Rio Preto","SP","15045-360","BR"
"Rua Direitos Humanos","São José do Rio Preto","SP","15045-512","BR"
"Rua Antônio Francisco Coutinho","São José do Rio Preto","SP","15046-080","BR"
"Estrada 8","São José do Rio Preto","SP","15051-679","BR"
"Rua Celso Pereira dos Santos","São José do Rio Preto","SP","15052-872","BR"
"Rua João Oliveira de Faria","São José do Rio Preto","SP","15054-040","BR"
"Rua Ivete Moreno Cetrone","São José do Rio Preto","SP","15054-632","BR"
"Rua Francisco Xavier Pedroso","São José do Rio Preto","SP","15060-170","BR"
"Estrada Silvio Pelicer Filho","São José do Rio Preto","SP","15062-002","BR"
"Rua Missionária Joaquina Machado de Oliveira","São José do Rio Preto","SP","15063-123","BR"
"Rua Irmã Helena Augusta Alves","São José do Rio Preto","SP","15076-493","BR"
"Rua Francisco Alves","São José do Rio Preto","SP","15080-190","BR"
"Rua Astúrias","São José do Rio Preto","SP","15087-281","BR"
"Rua Nair dos Santos Lima","São José do Rio Preto","SP","15090-290","BR"
"Rua Shoichi Ohno","São José do Rio Preto","SP","15092-226","BR"
"Rua das Araucárias","São José do Rio Preto","SP","15093-683","BR"
"Rua dos Canários","Votuporanga","SP","15503-114","BR"
"Rua Joaquim Vicente Gonçalves","Votuporanga","SP","15503-286","BR"
"Rua Basílio Augusto de Souza","Votuporanga","SP","15506-072","BR"
"Avenida Presidente Juscelino Kubitschek","Jales","SP","15700-214","BR"
"Rua Flórida","Jales","SP","15700-274","BR"
"Rua Arizona","Jales","SP","15700-284","BR"
"Travessa Eleodoro Francisco Teodoro","Jales","SP","15703-360","BR"
"Avenida Industrial","Jales","SP","15703-362","BR"
"Rua dos Guatambus","Jales","SP","15704-248","BR"
"Rua Pedro Dutra da Silva","Jales","SP","15704-268","BR"
"Rua Antonio Pelarini","Jales","SP","15706-002","BR"
"Rua das Violetas","Jales","SP","15706-050","BR"
"Rua Carlos Tomazine","Sorocaba","SP","18087-178","BR"
"Avenida Vela Olímpica","Sorocaba","SP","18087-350","BR"
"Rua João dos Santos Bueno","Sorocaba","SP","18108-828","BR"
"Rua Natalina Irene Amorim","Votorantim","SP","18111-132","BR"
"Rua Pedro Meira Sobrinho","Votorantim","SP","18115-320","BR"
"Rua Eufrázia Pereira Camargo","Votorantim","SP","18115-700","BR"
"Rua Maria José Nunes","Votorantim","SP","18117-260","BR"
"Rua Judith de Campos Machado","Votorantim","SP","18117-530","BR"
"Rua Vereador Georgino Marques Dias","Votorantim","SP","18117-674","BR"
"Rua Miguel Martins de Oliveira","Votorantim","SP","18119-286","BR"
"Rua Maria Augusta Ferreira","São Roque","SP","18132-653","BR"
"Rua das Primaveras do Mombaça","São Roque","SP","18132-804","BR"
"Rua Princesa Isabel","São Roque","SP","18134-350","BR"
"Avenida Antonio Pannellini","São Roque","SP","18135-131","BR"
"Travessa dos Portugueses","São Roque","SP","18136-160","BR"
"Rua Tarsila do Amaral","São Roque","SP","18143-856","BR"
"Rua Leandro de Góes","São Roque","SP","18145-037","BR"
"Rua Crisoberilo","Itapetininga","SP","18204-010","BR"
"Praça Teotônio Brandão Vilela","Itapetininga","SP","18205-750","BR"
"Avenida Doutor Evandro Ruivo","Itapetininga","SP","18207-700","BR"
"Rua Salvador Costa","Itapetininga","SP","18207-816","BR"
"Rua Thereza Matheus Pardo","Presidente Prudente","SP","19034-665","BR"
"Rua Laura da Silva Antoniatti","Presidente Prudente","SP","19034-675","BR"
"Rua Geraldo Vieira","Presidente Prudente","SP","19036-142","BR"
"Rua Josephina Peternussi Girotto","Presidente Prudente","SP","19045-290","BR"
"Rua Guaicurus","Presidente Prudente","SP","19050-630","BR"
"Alameda Ana Maia Eugênio","Presidente Prudente","SP","19053-687","BR"
"Rua José Gimenes","Presidente Prudente","SP","19063-400","BR"
"Rua Mitoshi Mitsunaga","Presidente Prudente","SP","19064-460","BR"
"Avenida Projetada","Presidente Prudente","SP","19066-295","BR"
