STREET,CITY,REGION,ZIP,COUNTRY,LONGITUDE,LATITUDE
Rua Miguel Martins de Oliveira,Votorantim,SP,18119-286,BR,-46.88914,-23.6578
Travessa dos Portugueses,São Roque,SP,18136-160,BR,-47.1361,-23.53961
Rua José Gimenes,Presidente Prudente,SP,19063-400,BR,-51.44907,-22.135
Rua Girassol I,Serra,ES,29162-691,BR,-40.32064,-20.12665
Rua Girassol,Aracruz,ES,29190-742,BR,-40.27613,-19.8011
Rua Salvador Pireda,Colatina,ES,29705-755,BR,-40.61933,-19.51343
Rua Israel,Colatina,ES,29709-350,BR,-40.70219,-19.52679
Beco Bom Jesus,Santa Luzia,MG,33115-038,BR,-43.92681,-19.7717
Rua Urupês,Santa Luzia,MG,33125-390,BR,-43.94628,-19.79377
Rua Ananias Tomaz dos Santos,Governador Valadares,MG,35024-750,BR,-41.99713,-18.83471
Rua Palmeiras,Governador Valadares,MG,35052-835,BR,-41.98408,-18.84933
Rua Berlim,Ipatinga,MG,35164-029,BR,-42.558,-19.43488
Rua Mairiporã,Ipatinga,MG,35164-269,BR,-42.56135,-19.44183
Rua Tantaro,Coronel Fabriciano,MG,35171-025,BR,-42.64383,-19.50046
Beco Um,Coronel Fabriciano,MG,35171-444,BR,-42.60652,-19.51951
Rua Tharsis e Paula,Seropédica,RJ,23895-175,BR,-43.70356,-22.74651
Rua Nilópolis,Angra dos Reis,RJ,23934-195,BR,-44.29947,-22.97039
Rua Boa Sorte,Angra dos Reis,RJ,23954-240,BR,-44.40179,-22.93778
Travessa Monte Gerezim,Angra dos Reis,RJ,23954-355,BR,-44.5311,-23.00924
Travessa das Bromélias,Angra dos Reis,RJ,23955-405,BR,-44.53313,-23.00485
Rua Tomé Tostes,Niterói,RJ,24240-450,BR,-43.0924,-22.89178
Rua Havaí,São Gonçalo,RJ,24455-475,BR,-44.59637,-23.04117
Rua Luiza de Gusmão,São Gonçalo,RJ,24470-400,BR,-44.59637,-23.04117
Rua Eduardo Brasão,São Gonçalo,RJ,24711-171,BR,-42.99628,-22.81693
Rua Capistrano de Abreu,São Gonçalo,RJ,24737-596,BR,-42.94191,-22.84598
Rua Lázaro Moncef,São Gonçalo,RJ,24754-090,BR,-44.59637,-23.04117
Rua João Dias Filho,Itaboraí,RJ,24808-336,BR,-42.85889,-22.75456
Rua República dos Italianos,Maricá,RJ,24900-490,BR,-42.80967,-22.91848
Estrada da Chuva,Maricá,RJ,24906-010,BR,-42.93164,-22.9074
Estrada do Engenho,Rio de Janeiro,RJ,21840-000,BR,-43.47052,-22.86645
Rua Havana,Rio de Janeiro,RJ,21870-020,BR,-43.46009,-22.87419
Rua São Jorge,Rio de Janeiro,RJ,21922-340,BR,-43.27926,-22.86405
Rua do Sítio,Rio de Janeiro,RJ,23059-782,BR,-43.286,-22.91542
Rua do Noturno,Rio de Janeiro,RJ,22260-162,BR,-43.38005,-22.83232
Rua Cândido Ferreira de Souza,Rio de Janeiro,RJ,22713-164,BR,-43.39009,-22.92988
Estrada do Itanhangá,Rio de Janeiro,RJ,22753-005,BR,-43.31154,-22.99053
Rua Quatro,Maricá,RJ,24919-660,BR,-42.87537,-22.9285
Rua das Flores,Maricá,RJ,24920-590,BR,-42.8236,-22.9285
Rua Manoel Gomes Quintanilha,Maricá,RJ,24930-676,BR,-42.89997,-22.93318
Rua Capitão Mello,Maricá,RJ,24937-010,BR,-43.00224,-22.95953
Rua R,Maricá,RJ,24940-640,BR,-42.93083,-22.94137
Rua Chuí,Maricá,RJ,24943-650,BR,-42.93164,-22.9074
Alameda do Manacá,Petrópolis,RJ,25745-610,BR,-43.10434,-22.35575
Rua São Jorge,Nova Iguaçu,RJ,26032-110,BR,-43.47773,-22.726
Rua Isidro Machado,Nova Iguaçu,RJ,26040-270,BR,-43.44171,-22.71588
Rua Ônix,Belford Roxo,RJ,26127-343,BR,-43.41981,-22.72821
Avenida Gonçalves Gatto,Belford Roxo,RJ,26130-230,BR,-43.4049,-22.76976
Travessa Nunes Sampaio,Belford Roxo,RJ,26140-425,BR,-43.42288,-22.7488
Alameda das Magnólias,Belford Roxo,RJ,26171-390,BR,-43.35331,-22.73455
Rua Devair Leão,Belford Roxo,RJ,26183-625,BR,-43.41635,-22.70408
Rua Orlando Prioli,Magé,RJ,25907-629,BR,-43.16061,-22.6299
Ladeira Frei Basílio,Magé,RJ,25922-512,BR,-43.04763,-22.65988
Rua B,Guapimirim,RJ,25948-170,BR,-42.96278,-22.50911
Rua O,Guapimirim,RJ,25948-252,BR,-43.01559,-22.66454
Rua Machado Coelho,Nova Iguaçu,RJ,26012-120,BR,-43.43225,-22.74547
Rua Cosme e Damião,Nova Iguaçu,RJ,26012-452,BR,-43.43443,-22.73672
Rua Itagore,Duque de Caxias,RJ,25035-580,BR,-43.31232,-22.75902
Rua Esperança,Duque de Caxias,RJ,25211-360,BR,-43.23444,-22.60681
Travessa Cândido Souza Monteiro,São João de Meriti,RJ,25515-430,BR,-43.35967,-22.80203
Travessa Paulo da Silva Torres,Petrópolis,RJ,25640-232,BR,-43.18204,-22.50384
Rua Ortigão,Nova Friburgo,RJ,28630-030,BR,-42.53279,-22.27008
Rua Iracema Leite Nader,Rio das Ostras,RJ,28893-208,BR,-41.95785,-22.53012
Rua Fernando de Noronha,Rio das Ostras,RJ,28893-292,BR,-41.95868,-22.52676
Avenida Vitória,Vitória,ES,29050-800,BR,-40.30521,-20.31052
Rua Bela Vista,Vila Velha,ES,29117-245,BR,-40.36189,-20.36185
Rua do Campo,Cariacica,ES,29142-728,BR,-40.37204,-20.38778
Rua Rui Barbosa,Nova Iguaçu,RJ,26277-080,BR,-43.48951,-22.75209
Rua Adriano,Nova Iguaçu,RJ,26280-020,BR,-43.4872,-22.74248
Rua Macapá,Japeri,RJ,26470-210,BR,-43.58626,-22.69032
Rua Antônio Barreiros,Volta Redonda,RJ,27215-350,BR,-44.09588,-22.50724
Rua Duzentos e Quarenta e Três,Volta Redonda,RJ,27265-445,BR,-44.12724,-22.52508
Rua José Abel,Barra Mansa,RJ,27336-470,BR,-44.18509,-22.58964
Rua dos Empresários,São Mateus,ES,29930-620,BR,-39.85978,-18.72237
Rodovia BR-381 Miguel Curry Carneiro,São Mateus,ES,29932-400,BR,-39.85978,-18.72237
Travessa Sempre Viva,São Mateus,ES,29940-340,BR,-39.86816,-18.72414
Avenida Barão dos Aymorés,São Mateus,ES,29942-462,BR,-39.87543,-18.72501
Beco Santa Marta,Belo Horizonte,MG,30335-230,BR,-43.95534,-19.95273
Rua Conselheiro Joaquim Caetano,Belo Horizonte,MG,30431-320,BR,-43.96918,-19.94914
Rua Juarez Teixeira Pinto,Belo Horizonte,MG,30590-525,BR,-46.60599,-20.72812
Rua dos Oboés,Belo Horizonte,MG,30850-480,BR,-44.00581,-19.92088
Rua Zilka Monteiro Pena,Belo Horizonte,MG,30855-180,BR,-44.0136,-19.92734
Avenida Ghande,Belo Horizonte,MG,30882-662,BR,-44.01656,-19.87572
Rua Pedro Leopoldo,Belo Horizonte,MG,31210-270,BR,-43.95026,-19.9086
Rua Ardósia,Belo Horizonte,MG,31210-480,BR,-43.9556,-19.90872
Rua Lúcio de Oliveira,Belo Horizonte,MG,31742-073,BR,-43.93863,-19.83227
Beco Papagaio,Belo Horizonte,MG,31744-162,BR,-43.97003,-19.94401
Rua Serra do Caparaó,Belo Horizonte,MG,31872-290,BR,-43.89833,-19.82512
Rua Diamantina,Cariacica,ES,29155-040,BR,-40.38402,-20.30214
Rua Pedro Salles,Serra,ES,29160-045,BR,-40.27764,-20.23153
Quadra SHIS QI 3 Conjunto 9,Brasília,DF,71605-290,BR,-47.83195,-15.82026
Avenida das Acácias,Sinop,MT,78550-214,BR,-55.50924,-11.86749
Rua dos Aricuris,Sinop,MT,78552-337,BR,-55.50849,-11.82752
Rua Aurélio Ocampos,Rondonópolis,MT,78705-504,BR,-54.57849,-16.47479
Rua Arara Celeste,Arapongas,PR,86702-471,BR,-51.44923,-23.39636
Rua Pavão,Arapongas,PR,86708-544,BR,-51.44716,-23.41257
Praça Vila Rica,Maringá,PR,87025-390,BR,-51.92371,-23.39439
Rua Barão do Tietê,Maringá,PR,87040-060,BR,-51.90088,-23.41557
Rua Pioneiro Benedito de Oliveira Franco,Maringá,PR,87047-585,BR,-51.92066,-23.38475
Rua Pioneira Maria Batista de Souza Neves,Maringá,PR,87055-460,BR,-52.00132,-23.45467
Rua Alduíno Machado,Cascavel,PR,85804-670,BR,-53.51173,-24.98734
Avenida Senador Atílio Fontana,Rondonópolis,MT,78745-800,BR,-54.66292,-16.4755
Rua América,Sarandi,PR,87111-440,BR,-51.86891,-23.45509
Rua Seul,Cianorte,PR,87203-402,BR,-52.63437,-23.65225
Quadra 275,Santo Antônio do Descoberto,GO,72903-062,BR,-48.30674,-15.94193
Quadra 54 Conjunto A,Águas Lindas de Goiás,GO,72911-226,BR,-48.26901219512195,-15.72402243902439
Quadra 32,Águas Lindas de Goiás,GO,72920-100,BR,-48.268837804878046,-15.72398756097561
Quadra 14 Área Especial 02,Brasília,DF,73050-003,BR,-47.78304,-15.64994
Quadra QS 18 Conjunto 5,Brasília,DF,71884-640,BR,-48.04098,-15.93144
Quadra QNJ 46,Brasília,DF,72140-460,BR,-47.92909,-15.77829
Rua São Floriano,Campo Grande,MS,79022-095,BR,-54.59063,-20.44443
Rua Deodápolis,Campo Grande,MS,79044-847,BR,-54.54528,-20.47052
Avenida Volta Redonda,Cianorte,PR,87207-060,BR,-52.61482,-23.67523
Avenida Luiz Diogo Ferraz,Paranavaí,PR,87703-532,BR,-52.45162,-23.08403
Rodovia BR-020,Brasília,DF,73130-900,BR,-47.75125,-15.63951
Quadra EQ 6 Área Especial 1,Brasília,DF,73340-531,BR,-47.88172,-15.78014
Setor de Mansões Quadra 49,Planaltina,GO,73752-162,BR,-47.5663,-15.43054
Quadra 9,Planaltina,GO,73752-419,BR,-47.61088,-15.43246
Rua Maísa Coutinho Anache,Campo Grande,MS,79081-702,BR,-54.6258,-20.50412
Rua Antonio da Silva Bartuira,Campo Grande,MS,79091-834,BR,-54.57436,-20.566
Rua Jacamar,Campo Grande,MS,79093-600,BR,-54.69073,-20.49933
Avenida Marinha,Campo Grande,MS,79097-210,BR,-54.67143,-20.53705
Rua Juvêncio Costa,Florianópolis,SC,88036-270,BR,-48.52287,-27.5878
Rua Presidente Somoza,Goiânia,GO,74350-835,BR,-49.32325,-16.73675
Quadra QR 410 Conjunto 10,Brasília,DF,72320-011,BR,-47.9270823076923,-15.761197692307693
Quadra 4 Conjunto E,Brasília,DF,72415-205,BR,-48.0683,-16.02621
Rua Recanto,Campo Grande,MS,79102-171,BR,-54.55659,-20.47967
Rua Benjamin Chadid,Campo Grande,MS,79106-280,BR,-54.70051,-20.44727
Rua Guanandi,Campo Grande,MS,79115-120,BR,-54.65329,-20.43516
Rua Comandante Átila Rodrigues Falcão,Três Lagoas,MS,79630-732,BR,-51.68077,-20.79485
Servidão Reduzino Vergilino Teixeira,Florianópolis,SC,88061-378,BR,-48.43146,-27.57484
Rua Souza Dutra,Florianópolis,SC,88070-493,BR,-48.58669,-27.59376
Rua RV 13,Goiânia,GO,74393-404,BR,-49.2057,-16.59946
Rua Vinte e Um de Março,Goiânia,GO,74425-122,BR,-49.27055,-16.69329
Rua RB 11 A,Goiânia,GO,74474-325,BR,-49.22901,-16.609735
Rua Miguel José Gomes,São João Del Rei,MG,36307-487,BR,-44.24373,-21.1347
Rua Francisca de Souza Peixoto,Cataguases,MG,36772-002,BR,-42.69516,-21.39335
Rua Geraldo Zanatelli,Varginha,MG,37005-025,BR,-45.40746,-21.54395
Rua José Honorato da Silva,Itajubá,MG,37501-624,BR,-45.44763,-22.41753
Rua Leontino Guedes Medina,Poços de Caldas,MG,37701-308,BR,-46.57108,-21.79002
Travessa Um,Poços de Caldas,MG,37704-780,BR,-46.59319,-21.80329
Rua Otília do Amaral,São Tomás de Aquino,MG,37960-970,BR,-47.09663,-20.78342
Rua da Carmosina,Salvador,BA,40315-110,BR,-38.48619,-12.96813
1ª Avenida São Roque,Salvador,BA,40355-623,BR,-38.49714,-12.95303
Travessa Tupinambás,Salvador,BA,40430-040,BR,-38.50123,-12.93261
Rua Luís Freitas,Salvador,BA,41207-490,BR,-38.45321,-12.9503
Rua da Horta,Salvador,BA,41211-600,BR,-38.44131,-12.95022
2ª Avenida Sérgio Cardoso,Salvador,BA,41214-560,BR,-38.49707,-12.94824
Caminho 17,Salvador,BA,41320-285,BR,-38.49759,-12.92475
Caminho 07-Setor 01,Salvador,BA,41340-490,BR,-38.50275,-12.98995
Avenida Vila Vintém,Salvador,BA,41630-176,BR,-38.36072,-12.94759
Avenida Concêntrica,Camaçari,BA,42809-051,BR,-38.32284,-12.69398
Rua Boa Vista,Feira de Santana,BA,44002-678,BR,-38.97219,-12.2554
Avenida José de Alencar,Vitória da Conquista,BA,45008-825,BR,-40.82294,-14.84806
Rua Abelard José Tolentino,Montes Claros,MG,39402-432,BR,-43.8536,-16.75229
Rua Cosme Antunes,Montes Claros,MG,39403-249,BR,-43.8732,-16.74767
Avenida Dois,Montes Claros,MG,39403-386,BR,-43.86767,-16.77573
Rua Morro Vermelho,Montes Claros,MG,39404-531,BR,-43.84756,-16.69993
,Vargem Grande do Rio Pardo,MG,39535-000,BR,-42.30958,-15.40297
Rua Adalberto Avelar,Divinópolis,MG,35500-803,BR,-44.86749,-20.13735
Rua Três,Divinópolis,MG,35502-229,BR,-44.81905,-20.15621
Rua Nelina Pereira dos Santos,Sete Lagoas,MG,35703-064,BR,-44.21025,-19.43994
Rua Acesita,João Monlevade,MG,35930-215,BR,-43.1694,-19.80271
Rua Z,Contagem,MG,32013-197,BR,-44.02287,-19.8668
Rua Geraldo Magela Belém,Contagem,MG,32017-200,BR,-44.0905,-19.91842
Rua João Penedo Alves,Contagem,MG,32113-487,BR,-44.02377,-19.83866
Rua Dois,Contagem,MG,32143-440,BR,-44.03139,-19.90868
Rua Nossa Senhora de Fátima,Betim,MG,32600-090,BR,-44.19321,-19.96819
Rua Maurício Bispo dos Santos,Betim,MG,32606-350,BR,-44.2131,-19.93428
Rua Sabiá,Betim,MG,32627-210,BR,-44.12568,-19.94948
Avenida Antônio Perto Siqueira,Betim,MG,32641-845,BR,-44.23035,-20.02847
Rua Newton Fonseca,Barbacena,MG,36201-046,BR,-43.78265,-21.22856
Rua F,Barbacena,MG,36202-398,BR,-43.75855,-21.20358
Rua José E. Santiago,São João Del Rei,MG,36300-231,BR,-44.26847,-21.1286
Rua Doutor Ludovice,Uberaba,MG,38026-050,BR,-47.9272,-19.76166
Rua Durvalina Quintino da Cruz,Uberaba,MG,38039-770,BR,-47.74254,-19.74476
Rua Lázaro Marques Caetano,Uberaba,MG,38082-056,BR,-47.89977,-19.74763
Rua Geraldo Theodoro da Silva,Araxá,MG,38181-223,BR,-46.91321,-19.59615
Rua Vinte e Oito,Ituiutaba,MG,38304-410,BR,-49.45628,-18.9833
Rua Antônio Caetano de Novais,Ituiutaba,MG,38307-277,BR,-49.49234,-18.98256
Praça Alice Gois Montes,Araguari,MG,38445-046,BR,-48.19496,-18.65098
Rua Odete Rodrigues da Silva,Araguari,MG,38445-258,BR,-48.17698,-18.63657
Rua Edson Nunes de Paula,Patos de Minas,MG,38701-638,BR,-46.5315,-18.5542
Rua Jorge Plínio Louzada,Patos de Minas,MG,38701-786,BR,-46.53753,-18.56526
Praça Madrid,Patos de Minas,MG,38705-106,BR,-46.50968,-18.59441
Rua Maria Bernardina Vieira,Patos de Minas,MG,38706-493,BR,-46.5081,-18.62486
Avenida Deputado Esteves Rodrigues,Montes Claros,MG,39400-912,BR,-43.87095,-16.7212
Travessa 25 de Novembro,Salvador,BA,40279-200,BR,-38.50286,-12.92236
Setor Habitacional IAPI Chácara 18,Brasília,DF,71081-255,BR,-47.92909,-15.77829
Rua 22,Luziânia,GO,72816-220,BR,-47.94039,-16.15114
Rua Astolfo do Amaral,Ponta Porã,MS,79900-630,BR,-55.72964,-22.49974
Rua Domingos Cássia,Ponta Porã,MS,79901-066,BR,-55.74146,-22.49059
Rua Iturama,Ponta Porã,MS,79902-168,BR,-55.72297,-22.52
Rua Maria Marques Rampelotti,Itajaí,SC,88317-518,BR,-48.74314,-26.87076
Rua José Lana,Itajaí,SC,88318-994,BR,-48.80863,-27.00413
Rua CP53,Goiânia,GO,74477-239,BR,-49.37291,-16.5858
Rua Campos Sales,Goiânia,GO,74483-150,BR,-49.35308,-16.68555
Rua 16,Luziânia,GO,72851-355,BR,-47.94039,-16.15114
Quadra 390,Luziânia,GO,72853-390,BR,-47.93262,-16.24311
Conjunto 02 HI Rua 6,Novo Gama,GO,72860-006,BR,-48.03173,-16.05888
Quadra 12,Valparaíso de Goiás,GO,72871-655,BR,-47.995403157894735,-16.072285263157895
Alameda Doutor Carlos de Carvalho,Curitiba,PR,80730-200,BR,-49.29192,-25.43773
Travessa Ney Azevedo,Curitiba,PR,81050-220,BR,-49.29388,-25.49029
Beco Elpídio Lobo,Navegantes,SC,88370-264,BR,-48.65096,-26.88427
Rua 251-A,Goiânia,GO,74610-171,BR,-49.30258,-16.60055
Rua 15,Goiânia,GO,74805-580,BR,-49.25921,-16.67475
Alameda Itajubá,Goiânia,GO,74815-130,BR,-49.22927,-16.72028
Rua G2,Goiânia,GO,74845-330,BR,-49.36346,-16.60495
Quadra SQ 19 Quadra 20,Cidade Ocidental,GO,72880-730,BR,-47.93792,-16.11363
Rua Orlando Molinari,Curitiba,PR,81860-264,BR,-49.24096,-25.54375
Rua Prudentópolis,Curitiba,PR,81880-030,BR,-49.2983,-25.53411
,Rio Rufino,SC,88658-000,BR,-49.78026,-27.86328
Rua Pau-brasil,Ponta Grossa,PR,84033-430,BR,-50.10686,-25.12871
Rua Octavio Maia,São Bento do Sul,SC,89290-126,BR,-49.37246,-26.27104
Rua Palmeiras - D,Chapecó,SC,89814-095,BR,-52.61945,-27.11574
Rua Imbituba,Manaus,AM,69099-220,BR,-59.95396,-3.04281
Rua Tiepolo,Manaus,AM,69099-311,BR,-60.05229,-3.10847
Rua Jatobá,Itacoatiara,AM,69101-682,BR,-58.44083,-3.14206
Quadra ARSE 62 Alameda Ceschiatti,Palmas,TO,77022-076,BR,-48.32879,-10.26672
Rua C,Gurupi,TO,77413-460,BR,-49.0953,-11.71411
Rua Anselmo José Tybuchewsky,Ponta Grossa,PR,84060-142,BR,-50.20422,-25.11518
Rua Manoel Lucindo,Porto Velho,RO,76811-298,BR,-63.87374,-8.80526
Rua Dom Pedro II,Porto Velho,RO,76820-136,BR,-63.88612,-8.75879
Rua Ananias Ferreira de Andrade,Porto Velho,RO,76824-356,BR,-63.86082,-8.74921
Rua Tucumã,Ariquemes,RO,76870-134,BR,-63.04259,-9.92693
Rua Jacob Klaine,Almirante Tamandaré,PR,83511-302,BR,-49.31215,-25.35903
Beco Veneza,Manaus,AM,69033-696,BR,-60.00806,-3.0472
Rua do Igarapé,Manaus,AM,69035-814,BR,-60.08814,-2.98482
Beco Santo Alberto,Manaus,AM,69036-586,BR,-59.93844,-3.02307
Rua Campos Sales,Manaus,AM,69040-660,BR,-60.04441,-3.08452
Avenida Sebastião Herculano de Souza,Jataí,GO,75802-202,BR,-51.7292,-17.92123
Rua 12A,Rio Verde,GO,75902-639,BR,-50.49075,-17.97036
Travessa Júlio Emerich,Rio Verde,GO,75906-140,BR,-50.92541,-17.79923
Rua 1,Rio Verde,GO,75909-575,BR,-50.92297,-17.7973
Avenida Green Park,Rio Verde,GO,75909-812,BR,-50.94483,-17.77708
Rua do Mogno,Rio Verde,GO,75910-036,BR,-50.90761,-17.76297
Travessa Aimoré,Porto Velho,RO,76801-322,BR,-63.87964,-8.72596
Rua Antônio Schuartz,Piraquara,PR,83301-565,BR,-49.08593,-25.46221
Rua Ceará,Piraquara,PR,83307-160,BR,-49.07537,-25.48029
Rua Carlos Haag,Rio do Sul,SC,89163-482,BR,-49.66419,-27.20359
Rua Lagoa Grande,Joinville,SC,89233-196,BR,-48.836,-26.38509
Conjunto da Cosama,Manaus,AM,69057-005,BR,-60.01173,-3.09267
Rua Ágata de Fogo,Manaus,AM,69075-483,BR,-59.94744,-3.12257
Rua Índio Creta,Manaus,AM,69082-120,BR,-59.97666,-3.08601
Rua Selezina dos Santos Lopes,Criciúma,SC,88807-135,BR,-49.44292,-28.70132
Rua 30,Aparecida de Goiânia,GO,74919-230,BR,-49.19352,-16.77414
Rua 133,Aparecida de Goiânia,GO,74965-340,BR,-49.19352,-16.77414
Rua Alberico Borges,Anápolis,GO,75143-260,BR,-48.97153,-16.33592
Rua Panamá,Itumbiara,GO,75513-564,BR,-49.22135,-18.40612
Rua Biraci Teixeira de Noronha,Curitiba,PR,82600-610,BR,-49.21463,-25.3971
Rua Tijuca,Curitiba,PR,82630-540,BR,-49.21881,-25.36894
Rua São Jerônimo da Serra,Curitiba,PR,82650-480,BR,-49.24429,-25.36902
Rua Estefânia,Curitiba,PR,82710-240,BR,-49.25755,-25.35783
Rua Pedro Eloy de Souza,Curitiba,PR,82820-130,BR,-49.20124,-25.42879
Rua Attílio Ramon,Curitiba,PR,82840-500,BR,-49.21916,-25.39334
Rua Guilherme Nunes Nogueira,Curitiba,PR,82900-180,BR,-49.22568,-25.44029
Rua Eduardo Engelhardt,Curitiba,PR,82970-240,BR,-49.19874,-25.4723
Rua Maria Lourdes Mendes Corrêa,Criciúma,SC,88816-725,BR,-49.3764,-28.73113
Rua Manoel Borges,Araranguá,SC,88904-360,BR,-49.48632,-28.96276
Rua Caçador,Blumenau,SC,89015-152,BR,-49.04652,-26.92806
Rua Samambaia,Blumenau,SC,89031-590,BR,-49.10617,-26.88769
Travessa Salvador,Manaus,AM,69006-820,BR,-59.92637,-3.05457
Travessa São Matheus,Manaus,AM,69021-055,BR,-60.03511,-3.00356
Rua Doutor Godofredo Lutz Luce,Jaraguá do Sul,SC,89258-190,BR,-49.07677,-26.49247
Rua Francisco Klosowski,Jaraguá do Sul,SC,89259-670,BR,-49.08838,-26.50952
Rua José Jelinsky,São Bento do Sul,SC,89280-583,BR,-49.36493,-26.24691
Rua Adalgiza Fleury,Manaus,AM,69086-480,BR,-59.9355,-3.0766
Rua Itanga,Manaus,AM,69086-552,BR,-59.93042,-3.07074
Rua Caxinguelê,Manaus,AM,69093-124,BR,-59.9924,-3.00591
Rua Palermo,Manaus,AM,69097-273,BR,-59.97183,-3.01022
Rua Villa Lobos,Ariquemes,RO,76873-782,BR,-63.02091,-9.89881
Rua Kaneji Kodama,Suzano,SP,08676-010,BR,-46.30561,-23.54505
Rua Cento e Cinqüenta,Suzano,SP,08690-780,BR,-46.31542,-23.50396
Rua Dinah Silveira de Queiroz,São Paulo,SP,05119-090,BR,-46.73631,-23.49319
Rua Durval Fernandes Chaves,São Paulo,SP,05136-230,BR,-46.74981,-23.50147
Rua Manoel Dias Amaro,São Paulo,SP,05388-060,BR,-46.56997,-23.54529
Rua da Consolação,São Paulo,SP,01416-902,BR,-46.64275,-23.54788
Avenida Conceição,São Paulo,SP,02072-001,BR,-46.60183,-23.50114
Rua Armando Paim,São Paulo,SP,02216-060,BR,-46.58021,-23.49489
Rua Joaquim de Souza Pacheco Filho,São Paulo,SP,02217-020,BR,-46.58168,-23.49018
Rua Mamorana,São Paulo,SP,08042-190,BR,-46.43669,-23.50961
Rua Mário Pati,São Paulo,SP,08051-350,BR,-46.47078,-23.512
Rua Doutor Gregório de Oliveira e Castro,São Paulo,SP,08090-390,BR,-46.42797,-23.47999
Rua Leonil,São Paulo,SP,08122-415,BR,-46.38448,-23.49335
Rua Candido Pereira de Castro,São Paulo,SP,08142-377,BR,-46.7089,-23.76775
Avenida Goiás,São Caetano do Sul,SP,09550-051,BR,-46.54974,-23.62137
Rua 24 de Maio,São Bernardo do Campo,SP,09625-000,BR,-46.51982,-23.77525
Rua Capitão Mor Antônio de Oliveira,São Bernardo do Campo,SP,09725-110,BR,-46.55911,-23.71219
Rua Antônio Pedrozelli,Diadema,SP,09910-030,BR,-46.6325,-23.69299
Rua Henrique Dias,Santos,SP,11013-230,BR,-46.31724,-23.93924
Rua Professor Alcides Luiz Alves,Santos,SP,11040-310,BR,-46.37994,-23.94385
Rua Pedro Alves,São Vicente,SP,11340-370,BR,-46.41481,-23.95284
Avenida Nossa Senhora das Graças,São Vicente,SP,11390-080,BR,-46.37633,-23.96531
Rua Nello Selmi Dei,São Paulo,SP,03908-010,BR,-46.50973,-23.58179
Rua Major-Brigadeiro Mário Castello Branco,São Paulo,SP,03908-020,BR,-46.50838,-23.58178
Rua Coronel Lisboa,São Paulo,SP,04020-041,BR,-46.63989,-23.59766
Rua Peter Lely,São Paulo,SP,04164-130,BR,-46.609,-23.62578
Rua Góis Raposo,São Paulo,SP,04182-900,BR,-46.59179,-23.64005
Rua General Lecor,São Paulo,SP,04213-020,BR,-46.60362,-23.59163
Rua São Paulo,São Paulo,SP,04236-080,BR,-46.74733,-23.41325
Travessa Francisco Semini,São Paulo,SP,04339-130,BR,-46.57875,-23.47748
Rua Santa Cruz,São Paulo,SP,05528-350,BR,-46.62233,-23.60053
Avenida Engenheiro Heitor Antônio Eiras Garcia,São Paulo,SP,05588-000,BR,-46.7707,-23.59981
Rua Sebastião Martins Pereira,São Paulo,SP,05762-260,BR,-46.7655,-23.64184
Rua Augusto Fabregas,São Paulo,SP,05820-110,BR,-46.74157,-23.66857
Rua Manuel Filx Fernandes,São Paulo,SP,05821-110,BR,-46.75153,-23.66826
Rua Paulo Lício Rizzo,Osasco,SP,06018-010,BR,-46.77991,-23.53796
Rua Doutor Theodoro de Souza Brandão,Osasco,SP,06045-150,BR,-46.79627,-23.57225
Avenida Internacional,Osasco,SP,06126-000,BR,-46.79482,-23.55373
Rua Santa Clara,Osasco,SP,06145-100,BR,-46.8003,-23.54746
,,,,BR,-51.75714,-13.64723
Rua Tartário,Carapicuíba,SP,06365-675,BR,-46.83325,-23.56516
Travessa Ulisses Guimaraes,Barueri,SP,06422-005,BR,-46.8444,-23.50412
Viela 23,Santana de Parnaíba,SP,06506-087,BR,-46.87225,-23.46747
Rua São Genaro,Santana de Parnaíba,SP,06516-215,BR,-46.91578,-23.44545
Rua Guilhermina Coelho,Itapevi,SP,06683-525,BR,-46.97763,-23.53423
Rua das Poesias,Cotia,SP,06702-335,BR,-46.92369,-23.58091
Rua Juruá,Cotia,SP,06704-762,BR,-46.90708,-23.57501
Rua Adália,Caraguatatuba,SP,11669-350,BR,-45.44372,-23.70173
Rua São Miguel,Caraguatatuba,SP,11671-230,BR,-45.44889,-23.67294
Rua Presidente Campos Salles,Mogi das Cruzes,SP,08770-210,BR,-46.19979,-23.52893
Rua Guararema,Santo André,SP,09185-700,BR,-46.53839,-23.68028
Rua General Osório,Santo André,SP,09190-440,BR,-46.5384,-23.67285
Rua Monte Azul,Embu das Artes,SP,06835-020,BR,-46.85519,-23.67018
Rua Araguacema,Guarulhos,SP,07083-110,BR,-46.54847,-23.43958
Rua Espírito Santo Dourado,Guarulhos,SP,07140-340,BR,-46.49334,-23.42418
Rua Eldorado,Guarulhos,SP,07272-260,BR,-46.41903,-23.46776
Avenida Deovair Cruz de Oliveira,Cajamar,SP,07776-435,BR,-46.83961,-23.33756
Rua Indiana,Cajamar,SP,07787-330,BR,-46.8263,-23.34081
Rua Edgard Máximo Zamboto,Franco da Rocha,SP,07810-160,BR,-46.7583,-23.31987
Rodovia Edgar Máximo Zamboto,Franco da Rocha,SP,07834-950,BR,-46.79312,-23.27346
Rua Leão IX,Francisco Morato,SP,07930-100,BR,-46.75251,-23.2582
Rua Colômbia,Francisco Morato,SP,07942-250,BR,-46.73883,-23.27226
Alameda Andrea,Cotia,SP,06726-670,BR,-47.03142,-23.66503
